Product_ID,Product_Name,Category,Brand,Current_Price,Competitor_Price,Stock,Units_Sold,Rating,Discount_Percentage,Season,Customer_Type,City,Payment_Method,Delivery_Days,Return_Rate,Review_Count,Wishlist_Count,Cart_Abandonment_Rate,Seller_Rating,Shipping_Cost,Marketing_Spend,Holiday,Weekday,Demand_Index,Recommendation_Score,Recommended_Price
P00001,Laptop,Electronics,Lenovo,13403,14183,699,135,2.8,40,Normal,Returning,Mumbai,Cash on Delivery,2,2.38,5351,3253,18.81,4.1,493,31858,Yes,Tuesday,62,85.09,13403
P00002,Milk,Grocery,Aashirvaad,41237,38885,802,90,4.3,15,Summer,Returning,Ahmedabad,Credit Card,2,13.18,5039,3929,49.15,4.1,307,6676,Yes,Monday,94,92.2,44535
P00003,Face Wash,Beauty,L'Oreal,49889,52343,223,17,3.9,30,Normal,Premium,Bengaluru,UPI,6,1.63,5578,1531,65.32,3.3,248,23915,No,Thursday,75,97.82,49889
P00004,Tablet,Electronics,Apple,21050,22283,484,537,4.6,40,Summer,New,Pune,Credit Card,6,2.66,5529,1071,25.71,4.2,309,610,Yes,Saturday,84,97.53,22734
P00005,Headphones,Electronics,Dell,64415,66599,569,112,2.8,40,Festival,Returning,Hyderabad,UPI,3,11.66,7381,2293,64.34,4.8,130,5326,No,Sunday,47,97.33,61195
P00006,Moisturizer,Beauty,Lakme,1439,-883,503,448,4.7,25,Monsoon,Returning,Mumbai,Debit Card,5,8.65,1747,2082,65.47,3.1,275,39466,Yes,Friday,56,75.32,1439
P00007,Smartphone,Electronics,Lenovo,46473,46964,103,177,4.9,40,Summer,New,Mumbai,Debit Card,6,7.28,4784,5911,19.35,3.6,103,16035,Yes,Monday,84,58.17,50190
P00008,Camera,Electronics,OnePlus,21698,22588,348,224,4.4,30,Monsoon,New,Kolkata,Credit Card,6,0.59,1823,6069,14.05,4.2,491,13382,Yes,Thursday,42,79.13,20614
P00009,Smartphone,Electronics,Apple,56646,56418,867,202,3.4,40,Normal,New,Kolkata,Credit Card,6,11.76,2257,1026,63.33,4.7,443,30777,Yes,Saturday,79,67.87,56646
P00010,Milk,Grocery,Tata,33746,35868,675,168,3.9,20,Winter,New,Bengaluru,Cash on Delivery,1,0.16,7335,5700,11.34,3.9,75,21056,No,Wednesday,72,63.73,33746
